x,y,z,magnitude,time
-0.951,0.021,-0.076,0.954,0.09
-0.832,-0.057,-0.09,0.839,0.16
-1.17,0.074,0.002,1.172,0.23
-1.334,0.01,-0.047,1.335,0.3
-1.021,0.049,-0.035,1.023,0.37
-0.881,0.004,-0.063,0.883,0.44
-0.947,-0.008,-0.035,0.948,0.51
-1.016,0.072,-0.047,1.019,0.58
-0.963,0.053,-0.033,0.965,0.65
-0.832,0.025,0.016,0.833,0.72
-0.855,0.002,-0.098,0.861,0.79
-0.879,-0.002,-0.02,0.879,0.86
-1.125,-0.057,-0.061,1.128,0.94
-1.545,0.129,0.012,1.55,1.01
-2.137,0.086,0.076,2.14,1.08
-1.756,0.072,-0.16,1.765,1.15
-0.688,0.01,0.098,0.694,1.22
0.605,0.102,-0.018,0.614,1.29
0.355,-0.184,-0.273,0.485,1.36
-0.52,0.16,0.254,0.6,1.43
-2.035,0.082,-0.143,2.042,1.5
-1.826,-0.053,0.029,1.827,1.57
-1.463,0.115,0.211,1.483,1.64
-1.545,0.068,0.016,1.547,1.71
-1.662,-0.018,-0.027,1.662,1.78
-1.279,0.187,0.01,1.293,1.85
-0.607,0.033,-0.098,0.616,1.92
0.338,-0.047,0.002,0.341,1.99
0.52,-0.166,-0.236,0.594,2.06
-1.516,0.199,0.328,1.563,2.13
-1.408,-0.146,-0.152,1.424,2.2
-1.518,-0.178,-0.186,1.539,2.27
-1.506,0.256,0.641,1.656,2.34
-0.809,-0.057,0.016,0.811,2.41
-0.584,-0.084,-0.195,0.621,2.49
-0.727,0.115,0.094,0.742,2.55
-0.984,-0.029,-0.102,0.99,2.63
-0.998,-0.1,-0.004,1.003,2.7
-1.529,0.1,0.117,1.537,2.77
-2.135,-0.025,0.209,2.145,2.84
-2.143,0.031,0.193,2.152,2.91
-1.051,0.162,0.18,1.078,2.98
0.418,0.027,-0.289,0.509,3.05
0.813,-0.143,-0.459,0.944,3.12
-0.482,-0.061,0.199,0.525,3.19
-0.631,0.074,0.02,0.636,3.26
-1.904,0.131,0.283,1.93,3.33
-1.854,0.158,0.104,1.863,3.4
-1.68,-0.182,0.516,1.766,3.47
-0.479,0.021,-0.156,0.504,3.54
-0.123,-0.008,-0.084,0.149,3.61
-0.422,0.064,-0.105,0.44,3.68
-1.334,0.037,0.023,1.335,3.75
-1.322,0.01,0.225,1.341,3.82
-0.604,-0.059,-0.293,0.673,3.89
-1.437,0.098,0.121,1.446,3.96
-1.789,-0.055,0.076,1.792,4.03
-2.066,0.084,0.027,2.068,4.1
-1.754,0.023,0.1,1.757,4.17
-0.906,0.074,-0.027,0.91,4.24
0.461,0.191,-0.164,0.525,4.31
0.479,-0.471,-0.117,0.681,4.38
-0.584,0.092,0.189,0.621,4.45
-1.113,-0.113,-0.24,1.145,4.53
-1.775,0.057,0.049,1.777,4.59
-1.656,-0.082,0.26,1.679,4.67
-0.904,0.033,0.039,0.906,4.74
-0.555,-0.035,-0.391,0.679,4.81
-0.594,-0.018,-0.1,0.602,4.88
-1.09,0.059,-0.113,1.097,4.95
-1.854,0.197,0.141,1.869,5.02
-1.672,-0.049,-0.08,1.675,5.09
-0.871,-0.004,-0.113,0.878,5.16
-0.424,0.109,-0.133,0.457,5.23
-0.471,-0.014,-0.123,0.487,5.31
-0.666,-0.08,-0.164,0.691,5.38
-1.396,0.131,0.098,1.406,5.45
-2.545,-0.219,0.23,2.565,5.52
-2.068,0.34,-0.066,2.097,5.59
-0.619,0.215,0.344,0.74,5.66
0.791,-0.336,-0.234,0.891,5.73
0.168,-0.072,-0.191,0.265,5.8
-0.604,0.012,0.238,0.649,5.87
-0.957,-0.004,0.008,0.957,5.94
-2.729,0.172,0.521,2.783,6.01
-1.443,-0.15,0.055,1.452,6.08
-0.592,0.207,-0.104,0.635,6.15
-0.211,-0.105,0.035,0.238,6.22
-0.553,-0.021,-0.127,0.568,6.29
-1.354,-0.066,-0.051,1.356,6.37
-1.348,0.133,-0.018,1.354,6.44
-0.891,0.02,-0.051,0.892,6.51
-0.492,-0.066,-0.1,0.507,6.58
-0.609,-0.021,-0.035,0.611,6.65
-1.299,-0.031,-0.053,1.3,6.72
-1.582,0.047,0.008,1.583,6.79
-2.207,0.086,0.137,2.213,6.86
-1.939,0.074,0.02,1.941,6.93
-1.1,0.1,-0.066,1.106,7
0.221,-0.059,-0.018,0.229,7.07
0.947,-0.141,-0.504,1.082,7.14
-0.279,0.127,0.037,0.309,7.21
-0.818,0.174,-0.082,0.841,7.28
-2.639,-0.227,0.137,2.652,7.36
-1.596,0.291,0.312,1.652,7.43
-0.916,-0.131,-0.02,0.926,7.5
-0.396,0.109,-0.133,0.432,7.57
-0.463,0.105,-0.104,0.486,7.64
-1.102,0.029,-0.012,1.102,7.71
-1.471,-0.041,-0.082,1.474,7.78
-1.496,0.086,0.289,1.526,7.85
-0.834,-0.043,-0.178,0.854,7.92
-0.568,0.002,-0.09,0.575,7.99
-0.66,0.061,-0.176,0.686,8.06
-0.816,-0.004,-0.041,0.817,8.13
-1.564,0.053,0.213,1.58,8.2
-2.408,0.129,0.043,2.412,8.27
-2.104,0.01,0.137,2.108,8.34
-1.143,0.076,0.027,1.145,8.41
0.35,-0.076,-0.199,0.41,8.48
1.092,0.109,-1.297,1.699,8.55
-0.357,-0.074,0.312,0.481,8.63
-0.721,0.152,-0.365,0.822,8.69
-2.768,-0.119,0.08,2.771,8.77
-1.809,0.086,0.221,1.824,8.84
-0.947,-0.082,0.049,0.952,8.91
-0.291,0.008,-0.129,0.318,8.98
-0.25,0.016,-0.016,0.251,9.05
-1.412,0.111,-0.037,1.417,9.12
-1.627,-0.037,-0.037,1.628,9.19
-0.814,0.109,0.191,0.844,9.26
-0.412,-0.041,-0.102,0.426,9.33
-1.082,-0.072,-0.092,1.088,9.4
-1.367,0.158,0.133,1.383,9.47
-0.563,0.096,-0.033,0.572,9.54
-0.381,-0.094,-0.359,0.532,9.61
-2.271,-0.311,-0.004,2.293,9.69
-2.289,0.469,0.064,2.337,9.76
-1.473,-0.047,0.098,1.477,9.83
0.285,-0.131,-0.357,0.476,9.9
1.131,0.172,-0.938,1.479,9.97
-0.389,-0.029,0.148,0.417,10.04
-1.008,-0.135,-0.223,1.041,10.11
-2.332,-0.074,0.02,2.333,10.18
-1.311,-0.191,-0.148,1.333,10.26
-0.973,-0.18,-0.105,0.995,10.33
-0.244,0.115,-0.469,0.541,10.4
-0.666,0.031,-0.049,0.669,10.47
-1.783,0.012,0.066,1.784,10.54
-1.148,0.162,0.049,1.161,10.61
-0.535,-0.059,-0.156,0.561,10.69
-0.857,-0.029,-0.115,0.866,10.76
-1.033,-0.004,-0.063,1.035,10.83
-0.771,0.189,-0.006,0.794,10.9
-0.982,-0.082,-0.229,1.012,10.98
-1.578,-0.113,0.006,1.582,11.05
-1.82,-0.031,0.092,1.823,11.12
-2.031,-0.312,-0.006,2.055,11.19
-1.17,0.465,-0.104,1.263,11.27
0.135,0.094,-0.158,0.228,11.34
0.834,-0.285,-0.381,0.96,11.41
-0.32,0.184,-0.018,0.37,11.48
-1.943,0.146,0.068,1.95,11.55
-2.85,-0.172,0.238,2.865,11.62
-1.391,0.303,0.316,1.458,11.69
-0.631,-0.15,-0.189,0.676,11.77
-0.086,0.02,-0.357,0.368,11.84
-1.465,0.166,0.059,1.475,11.91
-1.418,0.039,-0.123,1.424,11.98
-0.75,-0.023,0.002,0.75,12.05
-0.867,0,-0.086,0.871,12.12
-1.164,0.068,0.074,1.168,12.19
-1.02,0.021,0.041,1.021,12.26
-0.906,0.066,-0.01,0.909,12.34
